taskType,dependencyCount,retryCount,workflowSize,previousDuration,actualDuration
EMAIL,3,2,6,26.14,34.78
EMAIL,1,1,19,10.04,18.23
REST,5,1,14,29.16,46.21
EMAIL,0,3,19,7.57,17.74
REST,2,1,7,17.2,26.41
FILE,4,3,18,10.13,26.73
COMPUTE,5,0,12,6.37,27.41
DATABASE,4,3,20,28.33,53.19
EMAIL,4,2,3,17.0,28.64
COMPUTE,3,3,7,20.33,41.03
EMAIL,0,1,13,3.76,9.23
EMAIL,1,2,7,21.13,30.01
FILE,4,3,19,10.42,26.6
EMAIL,3,0,13,11.47,21.09
REST,5,2,9,11.17,27.58
EMAIL,4,2,12,9.41,21.68
COMPUTE,0,1,4,14.19,24.49
REST,2,0,14,9.98,18.26
COMPUTE,4,2,7,14.04,35.45
COMPUTE,1,1,4,17.77,30.6
EMAIL,5,0,6,3.71,14.28
COMPUTE,0,0,13,22.74,33.36
DATABASE,2,3,9,11.01,28.27
FILE,1,2,14,12.55,22.91
FILE,5,0,4,18.28,28.66
REST,0,0,10,21.51,27.84
EMAIL,0,3,9,25.44,35.01
EMAIL,5,1,16,25.67,41.55
COMPUTE,0,0,12,4.05,15.71
EMAIL,4,2,7,14.1,25.12
FILE,3,0,10,10.46,19.1
COMPUTE,3,3,12,19.43,42.66
EMAIL,3,2,16,15.64,28.19
COMPUTE,1,1,10,8.5,23.6
FILE,5,0,15,3.61,15.14
DATABASE,3,0,4,1.48,12.24
REST,5,1,15,14.1,28.25
FILE,3,0,13,17.44,26.9
COMPUTE,4,3,16,7.27,31.59
COMPUTE,5,3,13,3.57,28.34
DATABASE,0,3,10,26.77,39.79
EMAIL,2,1,6,16.79,25.17
DATABASE,0,3,13,3.27,16.18
EMAIL,0,1,19,20.13,27.6
COMPUTE,2,1,16,5.44,23.17
DATABASE,4,1,17,7.49,24.72
REST,5,0,3,22.99,35.32
DATABASE,5,1,3,23.75,37.59
EMAIL,5,3,8,24.24,39.45
DATABASE,0,0,7,29.22,34.84
FILE,2,0,11,28.06,32.87
DATABASE,0,1,17,21.71,32.23
DATABASE,3,3,7,29.44,48.95
FILE,3,0,11,18.5,24.31
COMPUTE,1,2,11,17.17,34.94
COMPUTE,5,0,11,5.15,25.58
DATABASE,1,3,17,3.41,22.07
REST,0,3,20,8.59,23.31
EMAIL,0,1,5,28.21,32.63
DATABASE,2,2,19,9.3,28.94
DATABASE,1,0,14,20.01,31.32
DATABASE,3,2,19,3.89,24.15
EMAIL,2,2,3,8.25,16.1
FILE,2,1,20,28.1,37.66
COMPUTE,2,1,20,27.69,48.38
DATABASE,3,3,10,7.4,26.0
REST,5,2,6,13.85,27.32
EMAIL,1,1,15,9.04,17.78
COMPUTE,4,2,3,1.5,22.02
DATABASE,5,3,12,10.91,34.09
FILE,4,2,20,17.33,32.18
EMAIL,4,1,9,16.03,26.0
REST,2,2,14,25.13,37.5
DATABASE,2,1,3,5.13,14.17
EMAIL,3,2,11,16.95,29.97
EMAIL,0,2,18,12.05,20.28
FILE,0,0,15,14.77,18.95
FILE,2,0,17,2.2,11.4
EMAIL,2,1,19,1.07,10.99
EMAIL,3,3,19,21.67,37.29
DATABASE,5,0,20,26.72,45.65
EMAIL,4,1,3,18.2,26.79
EMAIL,3,1,14,26.38,36.09
REST,4,2,3,25.25,38.63
DATABASE,5,3,20,15.28,38.54
REST,4,0,3,8.72,17.47
COMPUTE,1,2,7,27.97,42.45
REST,1,0,8,20.07,26.22
FILE,5,3,3,28.82,42.29
FILE,3,1,3,28.3,36.26
COMPUTE,0,3,3,24.28,37.88
REST,5,3,6,17.16,34.02
COMPUTE,0,0,9,9.65,22.32
REST,2,0,4,14.19,21.43
DATABASE,0,3,7,11.4,26.48
DATABASE,4,3,10,18.92,40.35
DATABASE,5,1,5,6.82,23.23
EMAIL,5,1,10,19.56,32.74
EMAIL,4,1,13,10.15,23.27
REST,2,0,12,22.07,29.86
FILE,1,1,6,21.3,24.69
COMPUTE,5,0,18,26.4,47.85
FILE,4,1,3,24.23,34.35
FILE,1,1,9,20.67,28.34
FILE,1,1,4,1.16,5.76
EMAIL,0,0,10,28.98,33.15
FILE,0,1,10,29.72,32.92
DATABASE,0,0,3,3.4,9.26
COMPUTE,3,3,6,11.08,31.45
COMPUTE,5,0,19,27.89,47.75
FILE,3,1,15,3.86,14.58
DATABASE,4,2,18,27.22,49.32
DATABASE,3,2,4,12.2,27.14
FILE,5,0,9,2.86,12.27
EMAIL,5,3,6,6.88,20.21
COMPUTE,1,2,13,9.52,27.41
DATABASE,4,0,10,19.58,33.25
DATABASE,5,1,4,29.44,45.53
DATABASE,1,3,9,8.73,23.38
FILE,4,2,14,29.93,43.43
REST,3,3,17,14.67,31.53
DATABASE,0,0,8,25.15,31.48
REST,1,0,13,26.33,33.86
DATABASE,5,0,9,20.52,35.96
EMAIL,2,3,10,5.08,18.09
EMAIL,4,0,20,12.75,26.05
DATABASE,4,3,4,13.51,32.53
DATABASE,0,3,9,5.97,20.45
DATABASE,1,1,8,2.91,14.25
DATABASE,0,2,17,17.75,31.06
DATABASE,3,1,13,16.79,32.94
REST,0,1,6,6.74,10.7
DATABASE,3,1,9,20.25,34.32
COMPUTE,2,3,6,10.98,28.01
FILE,4,2,5,4.76,16.19
EMAIL,5,2,14,22.5,37.33
COMPUTE,1,1,5,14.33,26.11
EMAIL,4,0,19,27.4,40.25
DATABASE,4,0,20,15.39,33.49
FILE,1,1,20,1.65,10.5
EMAIL,2,2,4,28.95,37.19
EMAIL,4,2,13,3.33,18.52
REST,5,1,11,20.55,35.84
REST,1,1,3,21.7,27.22
EMAIL,3,0,8,27.64,33.76
EMAIL,0,1,4,26.31,30.25
EMAIL,3,0,16,10.86,18.35
FILE,0,2,5,25.89,32.09
COMPUTE,3,0,6,8.61,23.97
COMPUTE,3,1,15,13.8,31.54
EMAIL,0,0,7,17.25,21.18
COMPUTE,4,2,11,16.0,38.38
DATABASE,2,1,10,12.69,25.87
EMAIL,4,1,6,27.81,35.84
EMAIL,5,3,16,13.85,31.55
EMAIL,3,0,6,9.47,14.74
EMAIL,3,2,11,22.19,35.33
FILE,0,1,19,19.15,27.92
COMPUTE,3,0,17,24.36,40.58
COMPUTE,5,0,10,16.14,33.69
EMAIL,1,0,18,1.51,6.85
DATABASE,2,2,10,22.08,38.27
FILE,1,0,10,16.67,21.59
DATABASE,5,2,16,20.52,39.89
DATABASE,2,0,11,3.2,12.81
DATABASE,5,1,20,19.65,38.86
COMPUTE,1,3,15,4.85,23.27
EMAIL,3,3,10,28.42,41.72
COMPUTE,1,0,20,24.96,39.15
FILE,1,2,12,2.15,11.41
COMPUTE,3,1,15,9.43,29.6
DATABASE,4,3,11,20.51,39.69
COMPUTE,3,0,12,20.52,37.21
EMAIL,0,2,17,24.5,33.48
REST,4,2,5,19.05,32.31
COMPUTE,2,1,14,2.4,19.17
FILE,4,1,14,13.96,27.61
REST,3,1,8,12.44,22.78
DATABASE,5,1,8,2.05,17.38
DATABASE,0,1,14,14.61,24.05
REST,4,0,14,24.1,36.74
EMAIL,2,0,18,2.86,12.4
DATABASE,1,2,8,10.08,24.33
EMAIL,2,0,9,29.91,37.33
COMPUTE,5,1,13,1.25,23.84
DATABASE,4,1,15,3.77,21.96
COMPUTE,3,1,7,20.94,39.47
EMAIL,1,1,7,23.08,26.71
COMPUTE,0,3,15,3.66,24.02
REST,1,0,8,11.07,17.07
COMPUTE,4,2,15,10.26,31.07
COMPUTE,1,3,5,5.08,22.49
FILE,5,0,14,24.31,34.36
DATABASE,5,3,14,23.42,47.13
DATABASE,0,2,3,29.48,38.84
EMAIL,3,0,18,6.31,16.65
COMPUTE,3,1,3,3.78,18.96
DATABASE,2,3,4,21.59,35.47
COMPUTE,5,0,17,13.26,34.38
DATABASE,3,1,8,8.3,24.11
COMPUTE,1,2,19,10.66,30.87
REST,2,3,6,9.19,23.89
COMPUTE,2,0,5,1.44,13.42
EMAIL,0,2,8,23.05,27.84
EMAIL,4,0,20,10.5,21.91
DATABASE,0,2,10,26.37,37.8
COMPUTE,0,2,20,22.1,39.43
REST,1,1,14,9.73,18.09
REST,3,2,12,26.19,40.46
COMPUTE,0,1,13,11.08,23.09
EMAIL,4,0,8,17.6,26.3
EMAIL,3,0,20,3.67,15.65
EMAIL,1,2,14,21.82,31.44
REST,5,3,9,13.17,32.72
FILE,5,3,16,13.04,32.6
EMAIL,2,1,16,19.33,28.86
REST,0,3,4,26.14,36.13
COMPUTE,4,2,8,1.76,23.11
EMAIL,4,3,8,19.47,32.53
EMAIL,4,1,17,24.86,36.53
COMPUTE,4,0,7,24.78,41.71
COMPUTE,5,2,7,4.44,27.13
FILE,3,0,11,3.4,11.86
DATABASE,3,0,19,8.45,23.1
DATABASE,4,0,18,15.36,33.71
COMPUTE,1,1,6,17.93,30.21
COMPUTE,0,2,13,27.7,42.34
DATABASE,1,3,4,10.25,23.47
EMAIL,5,2,19,26.4,43.95
REST,1,0,17,5.95,13.78
DATABASE,2,0,4,14.37,23.14
REST,4,2,4,2.47,17.3
EMAIL,1,1,5,18.28,22.5
COMPUTE,4,1,6,29.81,47.69
COMPUTE,2,3,13,23.1,42.85
EMAIL,1,2,11,1.61,10.54
DATABASE,1,3,13,25.25,40.17
FILE,1,2,9,28.93,36.34
COMPUTE,5,2,14,28.28,51.12
DATABASE,2,0,3,7.78,17.92
REST,2,3,10,5.17,17.19
FILE,0,0,17,15.14,19.79
DATABASE,2,1,11,3.88,16.08
EMAIL,5,1,11,24.31,39.09
REST,3,0,6,15.1,23.1
DATABASE,1,3,10,19.21,36.31
DATABASE,3,2,8,18.72,34.54
EMAIL,3,1,15,24.15,36.95
DATABASE,2,3,14,21.16,39.5
REST,1,0,3,6.04,11.96
EMAIL,0,0,8,9.41,9.95
DATABASE,0,1,7,29.55,36.94
EMAIL,0,3,12,29.45,37.93
REST,1,1,15,25.2,33.97
DATABASE,5,3,20,8.73,32.46
EMAIL,2,3,16,15.65,28.48
DATABASE,5,1,9,29.44,47.94
COMPUTE,1,1,5,21.54,36.52
DATABASE,5,3,11,2.91,26.18
REST,4,1,10,15.54,26.96
COMPUTE,3,1,18,17.05,38.01
REST,0,0,20,23.38,32.57
FILE,3,0,3,21.42,25.54
EMAIL,5,1,15,18.3,33.34
EMAIL,3,1,10,29.78,40.38
FILE,4,3,20,22.67,41.82
EMAIL,2,2,12,19.94,32.36
REST,5,0,12,22.41,37.36
EMAIL,1,1,13,28.89,35.97
REST,4,0,20,26.04,40.44
COMPUTE,2,2,4,23.64,39.43
EMAIL,1,0,9,17.86,22.49
COMPUTE,4,3,20,6.48,30.95
FILE,5,1,10,16.82,30.47
REST,1,0,9,15.92,23.16
COMPUTE,4,2,16,24.39,46.26
REST,4,1,15,27.08,41.24
DATABASE,2,3,14,21.24,38.13
EMAIL,5,0,11,28.36,40.71
DATABASE,1,1,17,24.62,37.58
DATABASE,0,2,14,23.83,38.06
EMAIL,5,1,4,14.43,25.52
REST,0,3,4,5.08,14.24
DATABASE,5,1,16,22.41,40.96
REST,2,3,17,9.28,25.04
REST,3,0,13,28.26,38.9
EMAIL,3,0,17,12.87,23.56
FILE,5,2,19,10.27,27.3
COMPUTE,5,1,18,4.55,26.47
REST,2,0,8,11.55,18.24
REST,4,3,12,26.98,43.74
DATABASE,3,0,10,6.48,18.0
EMAIL,2,0,20,3.35,10.57
REST,5,2,18,21.7,42.02
COMPUTE,2,3,19,3.37,25.36
FILE,5,3,9,4.53,22.65
REST,3,1,8,18.22,30.97
EMAIL,3,0,5,2.75,10.64
REST,4,2,6,6.17,19.19
FILE,0,0,9,28.05,32.2
FILE,1,1,12,18.68,26.96
REST,4,3,19,22.23,42.97
EMAIL,5,3,14,11.44,28.73
EMAIL,4,0,20,27.44,37.94
DATABASE,2,1,19,19.22,36.56
COMPUTE,0,0,4,10.9,19.51
DATABASE,2,3,15,10.54,29.34
EMAIL,0,3,3,19.4,25.83
FILE,0,0,13,17.97,20.32
REST,5,3,3,21.28,38.66
REST,1,1,4,4.89,11.17
COMPUTE,2,2,10,27.81,46.01
EMAIL,0,1,14,28.14,36.26
DATABASE,2,0,15,28.65,42.17
FILE,2,2,20,11.58,24.24
FILE,3,1,9,22.66,33.86
EMAIL,2,0,13,11.05,19.7
COMPUTE,0,1,6,7.96,19.27
FILE,4,0,19,5.82,18.86
FILE,4,3,4,23.69,37.22
FILE,2,3,13,25.61,36.94
FILE,5,3,4,23.34,38.92
FILE,3,3,6,17.26,30.21
EMAIL,2,1,10,12.9,19.98
DATABASE,4,0,16,29.87,44.28
REST,0,1,12,4.44,12.8
REST,2,1,19,12.94,23.87
DATABASE,1,3,9,29.15,43.35
REST,0,1,7,29.96,34.76
COMPUTE,0,1,17,6.68,23.52
DATABASE,2,2,8,3.26,18.18
EMAIL,5,2,9,14.67,30.23
DATABASE,0,3,14,22.61,39.1
COMPUTE,4,1,10,29.37,48.97
DATABASE,3,0,13,16.99,32.16
FILE,2,2,4,15.23,22.46
FILE,1,0,5,9.34,13.36
COMPUTE,4,2,16,29.51,50.71
DATABASE,5,3,6,28.03,50.32
COMPUTE,4,0,11,16.27,31.86
FILE,4,2,5,26.3,38.19
REST,1,1,10,4.74,11.74
EMAIL,0,2,9,25.93,30.66
DATABASE,2,0,5,7.08,18.07
DATABASE,3,2,15,9.69,26.86
REST,1,3,9,4.49,18.4
COMPUTE,0,2,18,12.77,29.97
COMPUTE,5,3,5,2.75,25.19
FILE,4,2,9,8.29,19.55
COMPUTE,2,3,13,13.0,32.56
REST,3,3,3,8.31,23.43
REST,3,2,13,9.55,23.65
FILE,0,0,8,24.71,28.33
EMAIL,4,3,17,14.29,32.84
REST,2,3,6,28.54,39.57
REST,3,3,7,13.05,29.64
COMPUTE,3,2,6,14.8,32.04
REST,5,3,20,24.43,46.38
COMPUTE,0,0,20,29.04,42.28
DATABASE,2,0,20,4.26,16.32
REST,2,2,18,11.37,24.21
DATABASE,5,0,8,14.63,29.58
DATABASE,2,1,4,25.94,35.87
REST,5,1,17,23.16,40.27
COMPUTE,0,0,15,22.79,37.15
REST,2,0,12,1.68,8.8
COMPUTE,4,1,12,28.75,47.37
DATABASE,5,3,18,27.94,52.36
EMAIL,0,3,8,23.1,33.08
FILE,4,3,12,5.69,20.93
COMPUTE,3,1,4,11.51,28.27
FILE,3,2,7,8.23,17.27
COMPUTE,5,3,13,28.43,55.42
REST,2,2,5,8.87,17.71
COMPUTE,0,3,5,8.11,22.15
DATABASE,5,1,5,13.8,29.84
FILE,1,1,18,26.13,34.32
EMAIL,3,0,18,3.94,14.66
EMAIL,1,1,14,6.33,13.09
COMPUTE,3,2,18,19.36,39.38
COMPUTE,2,0,18,21.74,36.47
FILE,4,3,16,5.15,20.53
REST,4,1,3,28.58,38.23
REST,4,1,20,25.44,39.88
EMAIL,3,1,9,20.52,27.94
EMAIL,3,2,10,21.4,33.56
FILE,2,2,7,27.17,34.81
COMPUTE,1,3,12,3.07,22.35
DATABASE,1,0,12,11.1,20.93
EMAIL,4,1,8,18.94,31.34
COMPUTE,5,3,12,6.53,29.81
COMPUTE,1,2,15,3.42,21.78
FILE,0,0,4,16.57,16.93
DATABASE,5,1,8,3.57,19.53
DATABASE,3,0,8,6.57,20.07
EMAIL,1,3,13,18.44,31.39
FILE,4,2,18,28.06,45.02
REST,2,1,8,3.26,14.6
EMAIL,2,2,16,7.6,17.99
FILE,1,3,17,3.02,14.39
FILE,5,2,19,5.51,22.72
DATABASE,4,2,16,24.53,44.82
REST,3,0,8,14.4,21.48
COMPUTE,3,2,5,22.6,38.78
DATABASE,4,0,9,4.78,19.51
COMPUTE,4,2,20,4.13,29.67
REST,4,1,18,23.45,40.46
EMAIL,2,2,12,10.19,21.72
EMAIL,0,3,10,21.92,29.85
FILE,2,1,5,4.91,12.83
FILE,1,1,3,10.67,16.73
REST,2,2,13,5.32,19.11
REST,3,3,6,4.45,17.64
EMAIL,3,2,16,9.47,22.23
EMAIL,3,2,12,1.01,15.1
REST,4,2,7,3.61,16.14
REST,4,3,17,10.06,28.04
EMAIL,4,0,18,21.29,33.91
EMAIL,5,0,13,1.87,12.5
EMAIL,3,0,9,22.31,31.15
EMAIL,1,1,12,2.23,8.9
FILE,3,3,3,27.0,36.63
EMAIL,1,1,11,24.73,32.52
FILE,3,2,11,29.1,40.53
FILE,5,1,3,4.44,16.12
DATABASE,1,3,8,9.83,24.69
DATABASE,1,3,7,20.24,35.68
COMPUTE,1,1,6,12.6,25.65
FILE,0,0,12,7.06,12.24
FILE,3,3,6,9.13,22.95
REST,3,0,11,3.51,13.9
DATABASE,0,1,14,29.13,39.23
FILE,3,2,18,23.88,38.38
EMAIL,4,3,5,25.34,40.37
DATABASE,3,0,17,14.12,30.23
COMPUTE,1,0,19,26.55,41.66
REST,1,2,8,6.63,15.12
REST,4,3,4,26.86,42.7
EMAIL,1,3,12,17.68,27.78
DATABASE,5,3,7,10.39,29.22
COMPUTE,5,1,14,23.81,47.12
FILE,3,3,10,15.74,29.0
REST,5,0,15,8.74,20.77
REST,3,1,3,12.5,22.87
EMAIL,3,0,3,27.62,33.5
COMPUTE,2,3,17,27.25,50.47
EMAIL,4,2,8,26.8,37.67
COMPUTE,2,0,11,14.33,29.21
REST,1,1,18,20.05,31.17
EMAIL,4,3,13,7.47,22.15
COMPUTE,1,3,8,9.69,27.1
EMAIL,1,0,11,4.92,8.32
FILE,5,1,20,20.44,36.85
FILE,1,0,6,26.75,30.18
COMPUTE,4,1,8,15.62,32.36
COMPUTE,0,3,7,11.0,28.64
FILE,1,1,10,14.74,19.91
COMPUTE,5,2,19,21.91,46.57
DATABASE,5,0,13,14.75,30.04
EMAIL,1,2,10,13.76,23.58
COMPUTE,0,1,20,20.48,35.44
DATABASE,2,1,11,19.4,33.12
REST,2,1,6,29.81,37.64
COMPUTE,5,2,4,14.21,33.32
COMPUTE,3,1,15,7.16,26.17
EMAIL,4,2,15,8.09,23.53
COMPUTE,3,3,19,5.49,29.86
EMAIL,2,0,16,26.28,34.84
FILE,4,3,8,22.74,35.76
FILE,1,2,15,19.46,30.68
FILE,3,2,6,12.6,23.03
FILE,5,3,9,26.94,43.18
DATABASE,1,2,11,15.04,29.76
DATABASE,1,1,16,21.63,33.56
DATABASE,5,1,19,26.73,45.27
EMAIL,2,1,13,23.36,34.12
FILE,4,3,7,2.62,18.36
REST,0,1,14,29.5,37.73
REST,0,0,13,2.8,7.42
FILE,1,1,15,5.28,11.6
DATABASE,1,3,4,24.15,37.47
EMAIL,3,0,7,26.99,33.58
DATABASE,5,0,10,24.81,38.36
FILE,4,3,13,25.91,40.58
COMPUTE,2,0,14,25.87,42.78
REST,4,1,20,21.69,38.03
REST,5,0,13,14.65,26.15
REST,5,0,6,22.88,34.61
FILE,2,1,19,18.12,28.23
EMAIL,0,3,18,9.41,20.6
REST,5,3,18,11.27,33.06
FILE,0,2,15,17.7,28.19
FILE,2,3,16,22.9,35.67
COMPUTE,5,3,6,2.7,25.32
DATABASE,1,3,20,5.12,25.23
DATABASE,1,3,15,19.64,36.71
REST,1,1,8,18.75,27.4
COMPUTE,2,0,6,2.75,16.43
DATABASE,0,1,15,8.85,20.58
FILE,0,0,19,4.74,11.55
FILE,3,1,19,25.97,38.79
COMPUTE,3,1,9,1.18,18.86
FILE,2,2,4,18.99,25.9
COMPUTE,3,0,3,29.0,40.94
FILE,5,0,18,9.03,21.86
EMAIL,5,2,9,16.09,28.85
COMPUTE,1,2,17,6.05,25.87
FILE,3,3,3,6.99,18.28
COMPUTE,5,0,15,18.95,37.34
EMAIL,0,1,13,7.51,14.76
EMAIL,5,2,9,28.57,42.95
EMAIL,1,2,17,4.63,16.8
DATABASE,0,1,18,3.5,14.18
DATABASE,5,1,9,24.25,42.67
COMPUTE,0,1,18,24.06,39.12
DATABASE,0,1,3,22.24,29.96
DATABASE,2,1,19,25.87,41.06
FILE,1,0,19,1.04,7.45
DATABASE,4,1,11,4.94,21.21
DATABASE,4,2,18,1.11,21.53
EMAIL,0,1,8,29.61,33.54
REST,5,3,13,5.57,24.52
REST,3,2,8,29.39,42.97
DATABASE,1,3,17,5.27,22.26
COMPUTE,5,2,9,25.96,48.09
FILE,4,1,19,14.35,27.32
EMAIL,4,3,7,7.68,20.76
EMAIL,1,3,6,10.63,19.65
FILE,0,2,17,20.17,30.48
REST,0,3,10,19.36,30.1
DATABASE,2,2,10,19.64,34.58
EMAIL,2,1,5,11.05,18.78
FILE,3,1,13,15.05,23.67
COMPUTE,1,1,16,24.94,40.79
DATABASE,3,2,7,8.69,25.95
FILE,0,2,7,17.25,22.25
EMAIL,0,3,18,13.86,25.85
REST,0,3,17,26.72,39.58
DATABASE,4,3,4,5.75,23.63
REST,2,2,20,16.46,30.14
COMPUTE,4,1,19,2.8,22.97
DATABASE,1,0,13,10.83,20.4
REST,4,3,14,17.02,34.19
EMAIL,3,2,12,9.06,21.55
REST,5,3,4,13.45,28.39
DATABASE,3,1,13,17.0,31.21
EMAIL,0,1,17,12.16,18.0
EMAIL,3,0,17,25.85,34.36
COMPUTE,4,2,8,18.71,39.3
REST,1,3,3,29.77,40.58
REST,1,0,8,12.46,18.87
FILE,2,0,20,28.01,37.65
FILE,0,1,8,10.42,16.21
EMAIL,0,3,12,25.11,36.53
COMPUTE,1,3,10,8.15,26.48
EMAIL,0,2,7,11.89,19.94
FILE,1,3,4,25.91,36.42
FILE,1,3,16,19.16,30.61
FILE,5,0,20,9.16,23.94
EMAIL,1,3,18,4.22,17.04
COMPUTE,3,1,4,17.38,32.02
FILE,3,1,3,13.85,21.67
COMPUTE,0,0,16,10.96,24.63
FILE,2,0,8,14.49,20.9
FILE,4,0,4,15.01,21.65
EMAIL,2,2,9,13.37,23.0
FILE,3,0,17,5.88,14.5
COMPUTE,5,0,13,25.4,46.1
COMPUTE,4,3,19,28.57,55.79
REST,5,3,15,16.44,36.48
COMPUTE,0,1,8,17.11,31.18
REST,1,3,15,6.43,19.86
EMAIL,1,1,19,1.83,10.69
EMAIL,0,1,12,19.46,24.31
COMPUTE,1,0,17,12.19,24.96
EMAIL,0,3,3,25.88,31.69
DATABASE,1,3,18,2.96,19.01
REST,2,2,19,21.81,35.91
DATABASE,2,2,3,24.3,37.06
FILE,3,0,13,21.54,28.84
EMAIL,0,3,4,14.82,21.34
DATABASE,4,3,17,21.77,43.61
DATABASE,2,0,18,25.76,37.91
FILE,2,3,13,23.93,37.82
FILE,4,2,17,8.96,22.2
FILE,0,2,7,14.8,20.76
FILE,5,3,19,25.31,46.41
FILE,4,2,15,5.66,18.75
COMPUTE,4,0,12,7.61,26.0
REST,0,3,5,3.32,14.38
REST,3,1,4,28.03,37.09
COMPUTE,3,0,10,28.91,45.99
DATABASE,0,3,14,23.46,38.83
DATABASE,1,2,9,3.86,18.06
FILE,0,1,11,10.52,17.31
DATABASE,5,0,7,7.01,23.47
COMPUTE,4,3,13,12.19,35.47
EMAIL,4,0,17,20.9,33.12
COMPUTE,0,2,3,11.17,25.95
DATABASE,5,1,20,7.16,29.38
COMPUTE,4,2,16,6.73,29.17
FILE,0,2,12,20.87,27.1
DATABASE,2,0,3,24.37,32.31
FILE,1,0,7,15.74,18.48
COMPUTE,5,0,18,22.65,42.3
DATABASE,2,2,6,9.55,24.42
EMAIL,3,2,3,8.12,18.61
COMPUTE,2,3,7,4.79,24.35
REST,2,2,3,26.25,37.8
FILE,2,2,12,22.97,34.92
DATABASE,5,1,4,9.27,23.41
REST,1,1,6,11.01,16.79
REST,4,3,7,28.1,45.18
REST,2,0,6,8.79,15.98
COMPUTE,0,0,9,19.46,31.69
FILE,1,0,3,1.51,2.75
REST,4,3,18,19.33,38.36
COMPUTE,5,3,20,1.33,29.65
COMPUTE,0,1,5,18.34,29.96
COMPUTE,2,2,15,5.25,23.38
FILE,4,2,8,14.12,25.54
FILE,1,2,12,18.36,25.64
DATABASE,5,2,18,10.01,31.86
COMPUTE,3,3,11,25.92,45.79
REST,2,3,11,9.3,23.42
DATABASE,1,1,9,1.21,13.79
FILE,4,2,10,16.4,30.1
FILE,1,2,14,2.96,12.64
EMAIL,0,0,5,13.38,13.9
EMAIL,0,1,13,12.52,18.77
REST,3,2,20,3.06,18.54
FILE,4,3,10,29.68,43.45
DATABASE,5,3,19,16.75,42.54
EMAIL,0,2,12,23.66,32.4
DATABASE,5,0,3,20.06,34.42
REST,4,0,16,28.8,40.7
REST,1,0,20,25.62,35.27
REST,3,0,17,10.49,20.39
EMAIL,0,3,19,26.47,36.25
DATABASE,1,3,11,13.48,31.01
COMPUTE,2,1,6,28.44,43.49
DATABASE,0,1,6,16.99,26.23
COMPUTE,2,0,15,8.39,22.23
DATABASE,1,2,18,28.79,44.76
EMAIL,3,1,9,18.77,28.88
EMAIL,0,1,12,2.81,9.05
FILE,2,2,5,11.3,20.97
EMAIL,0,0,18,25.82,31.81
DATABASE,1,3,13,5.26,20.08
COMPUTE,2,1,18,26.09,44.51
EMAIL,4,1,8,10.09,20.49
FILE,2,0,14,23.95,32.19
COMPUTE,3,3,20,3.54,29.58
FILE,5,1,4,8.3,18.77
DATABASE,3,3,7,14.33,31.2
DATABASE,2,3,5,1.59,16.72
COMPUTE,3,1,6,7.06,22.73
FILE,1,0,12,25.27,30.87
EMAIL,0,2,14,4.24,14.0
FILE,5,2,7,26.75,40.25
DATABASE,3,3,13,3.89,22.26
FILE,2,0,7,6.45,13.17
EMAIL,5,0,9,13.85,22.89
FILE,5,0,18,4.52,19.35
COMPUTE,1,0,15,18.64,31.56
EMAIL,1,3,14,13.77,24.31
DATABASE,2,0,5,8.06,18.2
COMPUTE,4,0,9,24.67,40.28
EMAIL,3,2,7,24.46,34.92
EMAIL,5,2,16,21.22,38.32
FILE,2,1,14,4.51,13.06
COMPUTE,3,2,6,12.93,31.94
REST,5,0,12,1.06,12.7
EMAIL,3,3,18,18.59,35.84
COMPUTE,5,0,11,8.13,25.54
COMPUTE,1,3,18,22.24,42.42
REST,3,2,8,7.52,21.92
REST,3,3,18,12.65,32.49
EMAIL,1,3,4,2.03,11.04
REST,4,2,5,16.68,32.03
REST,3,3,17,27.37,43.27
DATABASE,1,2,16,6.59,21.51
EMAIL,5,1,17,20.96,37.25
FILE,2,1,8,6.93,15.95
DATABASE,4,0,16,11.21,26.71
COMPUTE,3,1,4,13.94,29.73
COMPUTE,4,0,7,18.54,36.54
COMPUTE,4,2,4,27.78,46.0
REST,0,2,20,11.55,22.54
DATABASE,0,1,12,17.21,29.41
FILE,3,2,14,15.31,28.96
FILE,2,0,9,19.75,26.04
DATABASE,4,1,13,28.27,45.72
REST,5,3,11,29.7,46.83
FILE,1,0,7,9.56,12.16
DATABASE,1,0,9,11.71,20.59
DATABASE,0,1,12,27.08,39.68
COMPUTE,2,3,18,17.08,38.18
DATABASE,4,3,16,13.25,34.04
FILE,0,2,6,12.01,16.75
COMPUTE,5,2,12,12.99,35.4
COMPUTE,2,1,12,22.38,40.79
FILE,0,2,3,10.07,14.94
EMAIL,5,2,19,3.4,21.1
FILE,4,0,17,15.42,26.01
FILE,0,0,14,19.35,24.85
FILE,4,2,9,23.82,34.96
REST,1,1,14,21.69,31.37
FILE,0,1,3,7.52,8.71
EMAIL,4,3,11,16.8,31.26
REST,0,2,5,27.95,34.01
DATABASE,3,0,15,27.51,40.49
FILE,2,1,4,18.18,22.87
EMAIL,5,3,9,26.79,43.5
REST,2,3,6,26.24,40.51
DATABASE,4,0,6,27.25,39.48
EMAIL,0,3,15,5.75,14.74
REST,5,3,7,9.4,25.41
COMPUTE,3,2,6,23.35,41.61
EMAIL,5,3,7,24.78,42.0
EMAIL,0,3,4,15.95,22.33
DATABASE,5,0,5,6.71,22.56
COMPUTE,3,2,9,20.63,38.5
